age,live,through,sex,domain,transportation,most_app,likes,voice
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",5,간단한 알림음
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,이동수단에 대한 정보,4,배우
21.5,원룸,에브리타임,여,학생,버스,날씨,4,좋아하는 연예인의 목소리면 좋을 것 같네요!
21.5,가족과 함께 살고 있음,지인 소개,남,학생,지하철,"날씨, 이동수단에 대한 정보",5,목소리좋은사람
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"주식 및 비트코인, 뉴스, 게임",4,이선빈 목소리
21.5,기숙사,에브리타임,여,학생,도보,"날씨, 뉴스",3,
21.5,기숙사,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",4,
21.5,원룸,에브리타임,여,학생,도보,"미세먼지, 주식 및 비트코인, 이동수단에 대한 정보",5,우리 재현이 목소리..
21.5,원룸,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 과제, 캘린더, SNS",5,"중저음 부드럽고 따뜻한 남자목소리 (예:케이윌,박강현)"
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4,딱히 상관없어요
21.5,원룸,지인 소개,여,학생,버스,"미세먼지, 코로나 관련 소식 및 확진자 수, SNS",5,부드럽고 편안한 남자목소리
21.5,가족과 함께 살고 있음,지인 소개,여,직장인,버스,"날씨, 이동수단에 대한 정보",4,방탄소년단 뷔
21.5,빌라,에브리타임,남,학생,자전거 및 퍼스널 모빌리티,"미세먼지, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,안정적인 중저음 약간 클라리넷느낌의 목소리
28,원룸,지인 소개,남,학생,재택,"날씨, 주식 및 비트코인, 뉴스",5,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",2,옛날 만화 성우들의 목소리로 알람을 들으면 만화 속 주인공이 된 것 같은 느낌을 받을 수 있을 것 같아요.
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",4,"매일 듣기에 부담 없는 깔끔한 느낌의 성우 음성이 좋습니다. ex) 지하철, 버스 안내 음성, AI 음성 등"
21.5,원룸,에브리타임,여,학생,지하철,날씨,2,버스나 지하철 도착 10분전에 음성울리기!!
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 미세먼지",5,전문성우
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,주식 및 비트코인,3,라디오에 나올법한 부드러운 목소리
21.5,가족과 함께 살고 있음,에브리타임,남,학생,자전거 및 퍼스널 모빌리티,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4,스푼라디오 같은 감미로운 목소리..?
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",2,시리 목소리
25,가족과 함께 살고 있음,에브리타임,남,학생,도보,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",5,"성시경, 아이유 등"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 뉴스",4,뮤지컬배우의 대사나 노래 한소절
21.5,가족과 함께 살고 있음,에브리타임,남,학생,버스,이동수단에 대한 정보,4,신용재
21.5,원룸,에브리타임,남,학생,도보,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4,정연
21.5,원룸,에브리타임,여,학생,도보,날씨,4,정보전달이 정확한 목소리면 다 괜찮음. 다만 기계음 같은 느낌 보다 사람의 느낌이 나는(?) 정겨운 목소리였으면 함.
25,원룸,에브리타임,남,학생,도보,뉴스,2,배우
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",3,"동물소리, 최애목소리"
21.5,원룸,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",2,성우면 다 좋음
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수",3,가수
21.5,아파트,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",4,성우 김영선
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,"정재헌, 신용우 성우님"
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 뉴스, 코로나 관련 소식 및 확진자 수",2,
21.5,기숙사,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",4,아이유님
21.5,가족과 함께 살고 있음,지인 소개,남,학생,버스,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5,김여사
21.5,빌라,에브리타임,남,학생,버스,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",3,따뜻하고 명확한 목소리
21.5,가족과 함께 살고 있음,지인 소개,여,학생,도보,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",5,좋아하는 가수
25,원룸,지인 소개,여,프리랜서,지하철,"주식 및 비트코인, 이동수단에 대한 정보",3,없음
25,가족과 함께 살고 있음,에브리타임,남,학생,버스,"주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5,좋아하는 인플루언서
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",2,
28,아파트,에브리타임,남,직장인,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,"중저음 목소리의 남성, 전지현"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,"날씨, 이동수단에 대한 정보",4,듣기 좋은 남성 목소리
21.5,기숙사,에브리타임,여,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인",5,"엑소-백현, 에스파-윈터, 레드벨벳-조이, NCT-도영"
21.5,주택,지인 소개,남,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,"귀엽고 상큼한 아이돌같은목소리! 다현이나,나연이나,츄 같은"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",3,
